,predictions,attention_mean
2022-12-22,0.51159716,0.14285715
2022-12-23,0.53276277,0.14285715
2022-12-27,0.53806543,0.14285713
2022-12-28,0.5298651,0.14285715
2022-12-29,0.5544716,0.14285715
2022-12-30,0.54970145,0.14285715
2023-01-03,0.54419875,0.14285713
2023-01-04,0.55284524,0.14285715
2023-01-05,0.55775267,0.14285715
2023-01-06,0.551247,0.14285715
2023-01-09,0.54967046,0.14285715
2023-01-10,0.53092265,0.14285715
2023-01-11,0.5177762,0.14285715
2023-01-12,0.51405984,0.14285712
2023-01-13,0.49698895,0.14285715
2023-01-17,0.4951105,0.14285715
2023-01-18,0.48794484,0.14285715
2023-01-19,0.47453442,0.14285716
2023-01-20,0.48637483,0.14285715
2023-01-23,0.48232,0.14285715
2023-01-24,0.48548838,0.14285715
2023-01-25,0.49477783,0.14285715
2023-01-26,0.48884588,0.14285715
2023-01-27,0.48961455,0.14285712
2023-01-30,0.4821352,0.14285713
2023-01-31,0.47019243,0.14285715
2023-02-01,0.46385327,0.14285715
2023-02-02,0.4645564,0.14285713
2023-02-03,0.4564872,0.14285713
2023-02-06,0.45650098,0.14285715
2023-02-07,0.4599529,0.14285715
2023-02-08,0.45437348,0.14285715
2023-02-09,0.4445576,0.14285715
2023-02-10,0.4475618,0.14285715
2023-02-13,0.4608782,0.14285715
2023-02-14,0.4719426,0.14285715
2023-02-15,0.48015162,0.14285715
2023-02-16,0.480148,0.14285715
2023-02-17,0.4866203,0.14285715
2023-02-21,0.49162307,0.14285715
2023-02-22,0.49049893,0.14285715
2023-02-23,0.5002799,0.14285715
2023-02-24,0.5129335,0.14285715
2023-02-27,0.5204809,0.14285713
2023-02-28,0.5347392,0.14285713
2023-03-01,0.53855777,0.14285715
2023-03-02,0.5394745,0.14285715
2023-03-03,0.5287153,0.14285715
2023-03-06,0.51927453,0.14285715
2023-03-07,0.51738656,0.14285715
2023-03-08,0.5160679,0.14285715
2023-03-09,0.5146327,0.14285715
2023-03-10,0.53105104,0.14285715
2023-03-13,0.53279716,0.14285713
2023-03-14,0.53474456,0.14285715
2023-03-15,0.54277503,0.14285715
2023-03-16,0.54087675,0.14285715
2023-03-17,0.52503973,0.14285715
2023-03-20,0.5054494,0.14285715
2023-03-21,0.47954184,0.14285716
2023-03-22,0.4488796,0.14285715
2023-03-23,0.44500038,0.14285713
2023-03-24,0.45214772,0.14285713
2023-03-27,0.45421514,0.14285715
2023-03-28,0.46329078,0.14285715
2023-03-29,0.50175244,0.14285713
2023-03-30,0.49974954,0.14285713
2023-03-31,0.5043308,0.14285715
2023-04-03,0.50188214,0.14285713
2023-04-04,0.4875831,0.14285713
2023-04-05,0.49092647,0.14285716
2023-04-06,0.48302376,0.14285715
2023-04-10,0.47109082,0.14285715
2023-04-11,0.47501725,0.14285715
2023-04-12,0.48057073,0.14285713
2023-04-13,0.48712382,0.14285716
2023-04-14,0.49428123,0.14285715
2023-04-17,0.49769983,0.14285713
2023-04-18,0.4893508,0.14285713
2023-04-19,0.48608786,0.14285715
2023-04-20,0.4782568,0.14285713
2023-04-21,0.47718555,0.14285716
2023-04-24,0.47917894,0.14285715
2023-04-25,0.48615852,0.14285715
2023-04-26,0.49635008,0.14285715
2023-04-27,0.50260454,0.14285715
2023-04-28,0.5111569,0.14285715
2023-05-01,0.5157246,0.14285712
2023-05-02,0.5134502,0.14285713
2023-05-03,0.51405114,0.14285715
2023-05-04,0.51255184,0.14285715
2023-05-05,0.5066751,0.14285712
2023-05-08,0.49829364,0.14285716
2023-05-09,0.5052493,0.14285715
2023-05-10,0.5172526,0.14285715
2023-05-11,0.5176431,0.14285715
2023-05-12,0.52782404,0.14285715
2023-05-15,0.52881527,0.14285715
2023-05-16,0.52160525,0.14285715
2023-05-17,0.52166,0.14285715
2023-05-18,0.52708805,0.14285715
2023-05-19,0.524664,0.14285715
2023-05-22,0.5276471,0.14285715
2023-05-23,0.5287445,0.14285715
2023-05-24,0.5181884,0.14285715
2023-05-25,0.52268034,0.14285713
2023-05-26,0.5248437,0.14285713
2023-05-30,0.52245826,0.14285712
2023-05-31,0.5297228,0.14285715
2023-06-01,0.5292413,0.14285713
2023-06-02,0.5240655,0.14285715
2023-06-05,0.51610976,0.14285715
2023-06-06,0.49052918,0.14285715
2023-06-07,0.4794858,0.14285715
2023-06-08,0.47693464,0.14285715
2023-06-09,0.4751304,0.14285715
2023-06-12,0.48081532,0.14285715
2023-06-13,0.4789245,0.14285715
2023-06-14,0.48011535,0.14285715
2023-06-15,0.4720226,0.14285715
2023-06-16,0.46546838,0.14285715
2023-06-20,0.46235645,0.14285716
2023-06-21,0.44898748,0.14285715
2023-06-22,0.43877208,0.14285715
2023-06-23,0.43453088,0.14285716
2023-06-26,0.44032806,0.14285715
2023-06-27,0.44769135,0.14285715
2023-06-28,0.45315623,0.14285716
2023-06-29,0.47537187,0.14285715
2023-06-30,0.471939,0.14285713
2023-07-03,0.4677683,0.14285715
2023-07-05,0.46686912,0.14285715
2023-07-06,0.47705057,0.14285713
2023-07-07,0.4738879,0.14285715
2023-07-10,0.4816567,0.14285713
2023-07-11,0.49269515,0.14285715
2023-07-12,0.49544224,0.14285715
2023-07-13,0.51016724,0.14285713
2023-07-14,0.50727236,0.14285715
2023-07-17,0.50250655,0.14285715
2023-07-18,0.4991386,0.14285715
2023-07-19,0.4867903,0.14285715
2023-07-20,0.47272643,0.14285715
2023-07-21,0.47027114,0.14285715
2023-07-24,0.47360745,0.14285715
2023-07-25,0.47906575,0.14285713
2023-07-26,0.48046333,0.14285715
2023-07-27,0.47996405,0.14285715
2023-07-28,0.48609537,0.14285715
2023-07-31,0.48702306,0.14285715
2023-08-01,0.47745836,0.14285713
2023-08-02,0.4719306,0.14285715
2023-08-03,0.47526684,0.14285715
2023-08-04,0.47459182,0.14285715
2023-08-07,0.48118192,0.14285712
2023-08-08,0.48836076,0.14285713
2023-08-09,0.50115645,0.14285715
2023-08-10,0.5177331,0.14285715
2023-08-11,0.5228041,0.14285715
2023-08-14,0.52432096,0.14285715
2023-08-15,0.5280075,0.14285715
2023-08-16,0.52792406,0.14285715
2023-08-17,0.5313213,0.14285715
2023-08-18,0.5391117,0.14285713
2023-08-21,0.5433678,0.14285715
2023-08-22,0.5527225,0.14285716
2023-08-23,0.55697167,0.14285715
2023-08-24,0.5563595,0.14285715
2023-08-25,0.5547833,0.14285715
2023-08-28,0.55034506,0.14285716
2023-08-29,0.54385376,0.14285715
2023-08-30,0.53486663,0.14285715
2023-08-31,0.5306888,0.14285715
2023-09-01,0.52725685,0.14285713
2023-09-05,0.5316389,0.14285715
2023-09-06,0.5311705,0.14285715
2023-09-07,0.52531546,0.14285715
2023-09-08,0.5257587,0.14285715
2023-09-11,0.5297405,0.14285715
2023-09-12,0.53251255,0.14285715
2023-09-13,0.54299456,0.14285715
2023-09-14,0.54361194,0.14285713
2023-09-15,0.5392144,0.14285715
2023-09-18,0.5291047,0.14285715
2023-09-19,0.52734464,0.14285715
2023-09-20,0.52694976,0.14285715
2023-09-21,0.5325278,0.14285713
2023-09-22,0.53974605,0.14285715
2023-09-25,0.5451315,0.14285715
2023-09-26,0.56134784,0.14285715
2023-09-27,0.5820471,0.14285715
2023-09-28,0.58317435,0.14285715
2023-09-29,0.589406,0.14285715
2023-10-02,0.5815241,0.14285715
2023-10-03,0.5708264,0.14285715
2023-10-04,0.5678715,0.14285715
2023-10-05,0.5636403,0.14285715
2023-10-06,0.5517147,0.14285715
2023-10-09,0.54919845,0.14285713
2023-10-10,0.5555388,0.14285715
2023-10-11,0.54611456,0.14285715
2023-10-12,0.5399165,0.14285715
2023-10-13,0.5358127,0.14285715
2023-10-16,0.53372395,0.14285715
2023-10-17,0.5278228,0.14285715
2023-10-18,0.52949876,0.14285713
2023-10-19,0.5371259,0.14285715
2023-10-20,0.546942,0.14285713
2023-10-23,0.55640393,0.14285715
2023-10-24,0.56400555,0.14285715
2023-10-25,0.5530164,0.14285716
2023-10-26,0.5613596,0.14285715
2023-10-27,0.5723112,0.14285712
2023-10-30,0.56727535,0.14285715
2023-10-31,0.5665193,0.14285715
2023-11-01,0.5608952,0.14285715
2023-11-02,0.54624164,0.14285715
2023-11-03,0.53867006,0.14285715
2023-11-06,0.5245482,0.14285713
2023-11-07,0.509434,0.14285713
2023-11-08,0.49803814,0.14285716
2023-11-09,0.4853486,0.14285715
2023-11-10,0.4802454,0.14285715
2023-11-13,0.48248556,0.14285715
