date,LSTM,GRU,CNN-LSTM,ATT-LSTM,Transformer
2023-11-01,0.3246248974701166,0.1881867229173613,0.43139314941375667,0.11140767740376006,0.21698581006552328
2023-11-02,0.3260407142068593,0.19204884200925398,0.4321736366509775,0.1160004222717728,0.22028094859795722
2023-11-03,0.3105460758336903,0.16220417336648837,0.4154259467017481,0.09618960622544953,0.2032035704909225
2023-11-06,0.2966678486259272,0.14479100940301626,0.39763865311939395,0.09729770587030809,0.20411378626158289
2023-11-07,0.2947066105371866,0.1262991879433084,0.3797511956672726,0.08444938147064301,0.19302160128334656
2023-11-08,0.2968292400373375,0.15486827310534942,0.40572822088659694,0.1041234532439206,0.2109613518456141
2023-11-09,0.28522751266483526,0.16058058050552304,0.39177787134292547,0.1079052132825619,0.21446619442361825
2023-11-10,0.2674550208305759,0.10611980681157186,0.3659649399890984,0.0654562493062929,0.17843438297621841
2023-11-13,0.28732972533665474,0.13522457229372323,0.36269007752820537,0.08817289149101734,0.19951369094942215
2023-11-14,0.31355238890124054,0.16862583749680718,0.38666585661415503,0.15971114051007004,0.22570917731465293
2023-11-15,0.3427204871812294,0.16862583749680718,0.38666585661415503,0.1930408663166401,0.25408589483458033
2023-11-16,0.39419982368810225,0.16862583749680718,0.38666585661415503,0.24842814038411648,0.30050762454080104
2023-11-17,0.40337517171757814,0.16862583749680718,0.39530398832618374,0.2598120758234219,0.3071167237038823
2023-11-20,0.40337517171757814,0.16862583749680718,0.39201338098514454,0.2742937250573096,0.3012052922739787
2023-11-21,0.4001083126242102,0.16862583749680718,0.38989399245826317,0.2722082012192337,0.3506205406616866
2023-11-22,0.41857244669268984,0.16494970458252695,0.4084791691016471,0.2915717249634088,0.41449912657428567
2023-11-23,0.41990848986280066,0.16275865276720286,0.40982080998695847,0.2896520406880797,0.42963148471779716
2023-11-24,0.32504786601555813,0.0988331914304692,0.3145965431891674,0.22454303632997846,0.3369977226329089
2023-11-27,0.33420857598031345,0.11393297286676543,0.32268292661118037,0.25107685105077215,0.345968782697076
2023-11-28,0.33445115008565746,0.11435418477068433,0.29741985840186586,0.2769876837494377,0.34620655654203814
2023-11-29,0.2949883372101606,0.05256778957048148,0.255815602859989,0.23464814588213165,0.3076544468768066
2023-11-30,0.27995706558403094,0.029387292444520513,0.24004841690761103,0.21876020734656929,0.2930275051490708
2023-12-01,0.2944818279204283,0.050899799343707294,0.2552007189150449,0.23395493005419543,0.3071635720283311
2023-12-04,0.288420728930159,0.04321601471999054,0.24899624432676215,0.227830989157625,0.3012571451361618
2023-12-05,0.2999910616494355,0.05884192407682745,0.25862895882430825,0.2396943348142655,0.3153039692044868
2023-12-06,0.3259050558413225,0.08964743535387819,0.2844048397020904,0.2647581541992541,0.3125538891098074
2023-12-07,0.24479683531448512,0.038173630213207195,0.2016698871865092,0.18202878052411292,0.26395707853232264
2023-12-08,0.26942609649018434,0.0674703771630194,0.22549563978989984,0.20740054562323532,0.28694011342011977
2023-12-11,0.24964338990581292,0.08224140095538733,0.18643731900955463,0.1851659132897641,0.2696354201379405
2023-12-12,0.24964338990581292,0.08224140095538733,0.16718462743774704,0.16480878241585714,0.25098628451661326
2023-12-13,0.24964338990581292,0.08224140095538733,0.16718462743774704,0.14196786413121149,0.22993221334431718
2023-12-14,0.24964338990581292,0.08545480717299254,0.16414366714532222,0.14191715340390557,0.2298870194646574
2023-12-15,0.24964338990581292,0.06284404151506601,0.20624263887992042,0.16581172337144187,0.24743233863324315
2023-12-18,0.25268761540424045,0.060737624468209996,0.2120921207340366,0.17240788645649616,0.25103567079227757
